time_step,id,id_leader,pos,vel,acc,lane,length
0.0,0,-1,26.47,18.25,0.0,3.0,4.0
0.0,1,-1,63.09,21.8,0.0,1.0,4.0
0.0,2,-1,76.36,21.72,0.0,2.0,13.0
0.0,3,-1,105.0,19.54,0.0,3.0,16.0
0.1,0,3,28.302,18.39,1.4,3.0,4.0
0.1,1,-1,65.27700000000002,21.94,1.4,1.0,4.0
0.1,2,-1,78.532,21.72,0.0,2.0,13.0
0.1,3,-1,106.9575,19.61,0.7,3.0,16.0
0.2,0,3,30.148,18.53,1.4,3.0,4.0
0.2,1,-1,67.47800000000002,22.080000000000002,1.4,1.0,4.0
0.2,2,-1,80.704,21.72,0.0,2.0,13.0
0.2,3,-1,108.922,19.68,0.7,3.0,16.0
0.3,0,3,32.007999999999996,18.67,1.4,3.0,4.0
0.3,1,-1,69.69300000000003,22.220000000000002,1.4,1.0,4.0
0.3,2,-1,82.87599999999999,21.72,0.0,2.0,13.0
0.3,3,-1,110.8935,19.75,0.7,3.0,16.0
0.4,0,3,33.88199999999999,18.810000000000002,1.4,3.0,4.0
0.4,1,-1,71.92200000000003,22.360000000000003,1.4,1.0,4.0
0.4,2,-1,85.04799999999999,21.72,0.0,2.0,13.0
0.4,3,-1,112.872,19.82,0.7,3.0,16.0
0.5,0,3,35.76999999999999,18.950000000000003,1.4,3.0,4.0
0.5,1,-1,74.16500000000003,22.500000000000004,1.4,1.0,4.0
0.5,2,-1,87.21999999999998,21.72,0.0,2.0,13.0
0.5,3,-1,114.8575,19.89,0.7,3.0,16.0
0.6,0,3,37.67199999999999,19.090000000000003,1.4,3.0,4.0
0.6,1,-1,76.42200000000004,22.640000000000004,1.4,1.0,4.0
0.6,2,-1,89.39199999999998,21.72,0.0,2.0,13.0
0.6,3,-1,116.85000000000001,19.96,0.7,3.0,16.0
0.7,0,3,39.58799999999999,19.230000000000004,1.4,3.0,4.0
0.7,1,-1,78.69300000000004,22.780000000000005,1.4,1.0,4.0
0.7,2,-1,91.56399999999998,21.72,0.0,2.0,13.0
0.7,3,-1,118.8495,20.03,0.7,3.0,16.0
0.8,0,3,41.51799999999999,19.370000000000005,1.4,3.0,4.0
0.8,1,-1,80.97800000000005,22.920000000000005,1.4,1.0,4.0
0.8,2,-1,93.73599999999998,21.72,0.0,2.0,13.0
0.8,3,-1,120.85600000000001,20.1,0.7,3.0,16.0
0.9,0,3,43.46199999999998,19.510000000000005,1.4,3.0,4.0
0.9,1,-1,83.27700000000006,23.060000000000006,1.4,1.0,4.0
0.9,2,-1,95.90799999999997,21.72,0.0,2.0,13.0
0.9,3,-1,122.86950000000002,20.17,0.7,3.0,16.0
1.0,0,3,45.41999999999998,19.650000000000006,1.4,3.0,4.0
1.0,1,-1,85.59000000000006,23.200000000000006,1.4,1.0,4.0
1.0,2,-1,98.07999999999997,21.72,0.0,2.0,13.0
1.0,3,-1,124.89000000000001,20.240000000000002,0.7,3.0,16.0
1.1,0,3,47.39199999999998,19.790000000000006,1.4,3.0,4.0
1.1,1,-1,87.91700000000007,23.340000000000007,1.4,1.0,4.0
1.1,2,-1,100.25199999999997,21.72,0.0,2.0,13.0
1.1,3,-1,126.91750000000002,20.310000000000002,0.7,3.0,16.0
